exec_id,단품코드,채널,전일재고_장,이동IN_장,정상가,실제판매_장,추가판매_장
1,SPBRGA9KG135150,네이버,0,5,15900,0,0
1,SPCKG11KU251140,네이버,0,2,39900,0,0
1,SPCKG24G0259085,네이버,0,2,29900,0,0
1,SPJJG24G0110090,네이버,0,20,49900,7,7
1,SPJJG25C0950110,네이버,0,2,39900,0,0
1,SPJJG25G0151090,네이버,0,6,39900,0,0
1,SPJJG25G0151095,네이버,0,8,39900,0,0
1,SPJJG37C0219105,네이버,0,4,39900,0,0
1,SPKWG24G0133090,네이버,0,8,29900,1,1
1,SPMNG23C6550100,네이버,0,2,49900,0,0
1,SPRWG25C0285105,네이버,0,7,15900,1,1
1,SPRWGA9KU299160,네이버,0,6,19900,0,0
1,SPTCG25G1119070,네이버,17,8,39900,21,4
1,SPTHG37G1119075,네이버,6,8,25900,6,0
1,SPTNG37C0117080,네이버,0,2,39900,0,0
1,SPWHG23W1119070,네이버,0,4,39900,0,0
1,SPWRGA9KG310140,네이버,0,10,15900,2,2
1,SPWRGA9KG310150,네이버,0,6,15900,0,0
1,SPYSG23G0239090,네이버,0,6,39900,0,0
1,SPYSG23G0250090,네이버,0,4,39900,1,1
1,SPYWG37C5551105,네이버,1,3,39900,1,0
1,SPAKGA9KG626999,네이버,0,2,39900,2,2
1,SPCKG12KG159140,네이버,0,1,39900,0,0
1,SPMNG23C6249100,네이버,0,1,49900,0,0
1,SPMNG23C6519105,네이버,0,2,49900,0,0
1,SPMRGA9A1210105,네이버,0,6,15900,5,5
1,SPSMG24KU149130,네이버,0,3,39900,0,0
1,SPYJG23CY119110,네이버,0,2,49900,0,0
1,SPAKGA9KG691999,네이버,0,2,39900,0,0
1,SPJEG23G0255095,네이버,0,2,59900,0,0
1,SPJJG23M0119100,네이버,0,4,69900,0,0
1,SPSMG25KG120110,네이버,0,4,49900,0,0
1,SPSMG25KG120120,네이버,0,6,49900,0,0
1,SPSMG25KG120130,네이버,0,8,49900,1,1
1,SPSMG25KG120150,네이버,0,4,49900,0,0
1,SPSMG25KG151130,네이버,0,4,49900,0,0
1,SPBNG24W9159999,네이버,0,2,29900,0,0
1,SPJEG23C0215105,네이버,0,2,69900,0,0
1,SPPPG25U0125090,네이버,0,8,39900,0,0
1,SPPPG25U0125105,네이버,0,3,39900,0,0
1,SPPPG25U0140090,네이버,0,6,39900,1,1
1,SPPPG25U0151105,네이버,0,6,39900,2,2
1,SPPPG25U0525095,네이버,0,14,39900,0,0
1,SPPPG25U0525100,네이버,0,6,39900,0,0
1,SPPPG25U0550100,네이버,0,6,39900,1,1
1,SPPPG25U0650100,네이버,1,9,39900,8,7
1,SPPPG25U0825100,네이버,0,13,39900,0,0
1,SPPPG25U0930090,네이버,0,3,39900,1,1
1,SPPPG25U0951090,네이버,1,3,39900,1,0
1,SPPPG25U0951100,네이버,1,2,39900,0,0
1,SPPPG25U1010095,네이버,2,8,39900,2,0
1,SPWHG23W1360075,네이버,0,3,49900,0,0
1,SPWHG25G0135075,네이버,0,3,39900,0,0
1,SPPPG25KU125140,네이버,0,3,39900,3,3
1,SPPPG25KU125150,네이버,0,5,39900,2,2
1,SPRLG25U0519090,네이버,0,2,25900,0,0
1,SPSMG24KU135150,네이버,0,2,39900,1,1
1,SPSMG25KG151120,네이버,0,2,49900,0,0
1,SPSMG25KG151140,네이버,0,2,49900,0,0
1,SPAKGA9A7119999,무신사,0,4,39900,0,0
1,SPAKGA9A7349999,무신사,0,5,29900,4,4
1,SPBNG37W0439090,무신사,0,1,39900,0,0
1,SPHWG26C6159105,무신사,1,4,29900,0,0
1,SPJJG23C1115090,무신사,0,4,59900,0,0
1,SPJJG23C1115105,무신사,0,6,59900,0,0
1,SPJJG23CY199090,무신사,0,4,79900,0,0
1,SPJJG23G0119085,무신사,0,2,59900,0,0
1,SPJJG24G0119085,무신사,0,3,49900,2,2
1,SPJJG24M0316095,무신사,0,1,69900,0,0
1,SPJJG24M0316100,무신사,0,1,69900,0,0
1,SPJJG25C0995105,무신사,0,4,39900,4,4
1,SPJJG25C0995115,무신사,0,5,39900,0,0
1,SPJJG25C0999100,무신사,0,1,39900,1,1
1,SPJJG25C0999105,무신사,0,3,39900,0,0
1,SPJJG25GS110100,무신사,0,1,49900,0,0
1,SPJJG26C0159105,무신사,0,1,39900,1,1
1,SPKWG25M0219095,무신사,0,2,39900,1,1
1,SPKWG25M0219100,무신사,0,5,39900,4,4
1,SPKWG25M0219105,무신사,0,5,39900,3,3
1,SPKWG25M0219110,무신사,0,2,39900,1,1
1,SPKWG25M0259100,무신사,0,4,39900,3,3
1,SPKWG25M0259105,무신사,0,2,39900,2,2
1,SPLAG23U0359090,무신사,1,5,39900,0,0
1,SPLSG23C0459090,무신사,1,2,39900,1,0
1,SPMTG26C0219090,무신사,0,3,29900,3,3
1,SPMZG24G0564085,무신사,0,3,39900,0,0
1,SPOWG37G9051085,무신사,0,2,49900,1,1
1,SPOWG37G9051090,무신사,0,1,49900,0,0
1,SPOWG37G9060095,무신사,0,4,49900,0,0
1,SPPPG25U2610090,무신사,0,6,39900,0,0
1,SPPPG25U2610095,무신사,0,6,39900,0,0
1,SPRLG25U1510100,무신사,0,2,25900,1,1
1,SPRLG25U1640090,무신사,0,3,25900,0,0
1,SPRLG25U1640095,무신사,0,4,25900,0,0
1,SPRLG25U1640100,무신사,0,4,25900,0,0
1,SPRLG25U2010090,무신사,0,4,25900,0,0
1,SPRLG25U2010105,무신사,3,7,25900,1,0
1,SPRLG37U1110095,무신사,3,9,35900,0,0
1,SPRLG37U1420095,무신사,15,18,25900,1,0
1,SPRLG37U1499105,무신사,0,4,25900,0,0
1,SPRLG37U4385090,무신사,1,19,29900,1,0
1,SPRNG37GY010095,무신사,1,13,19900,1,0
1,SPRPG25C5010095,무신사,3,6,19900,1,0
1,SPRPG37G5133090,무신사,1,3,25900,0,0
1,SPRPG37G5459070,무신사,0,8,29900,0,0
1,SPRWG37G0259090,무신사,1,6,19900,1,0
1,SPRWG37G0735075,무신사,0,3,35900,0,0
1,SPRWG37G1103090,무신사,2,2,25900,3,1
1,SPTCG23C0160082,무신사,0,3,49900,1,1
1,SPTCG23G0119067,무신사,0,3,49900,0,0
1,SPTCG23G0539067,무신사,0,1,49900,1,1
1,SPTCG37G9119075,무신사,0,5,49900,1,1
1,SPTHG23WY119075,무신사,0,17,39900,2,2
1,SPTHG37G1219075,무신사,4,4,25900,1,0
